title,authors,journal,year,cited_papers
"Deep Learning","Ian Goodfellow, Yoshua Bengio, Aaron Courville","MIT Press",2016,"Gradient-Based Learning Applied to Document Recognition, A Fast Learning Algorithm for Deep Belief Nets"
"ImageNet Classification with Deep Convolutional Neural Networks","Alex Krizhevsky, Ilya Sutskever, Geoffrey E. Hinton","Advances in Neural Information Processing Systems",2012,"Gradient-Based Learning Applied to Document Recognition"
"Gradient-Based Learning Applied to Document Recognition","Yann LeCun, Léon Bottou, Yoshua Bengio","Proceedings of the IEEE",1998,""
"A Fast Learning Algorithm for Deep Belief Nets","Geoffrey E. Hinton, Simon Osindero, Yee-Whye Teh","Neural Computation",2006,"Gradient-Based Learning Applied to Document Recognition"
"Generative Adversarial Networks","Ian J. Goodfellow, Jean Pouget-Abadie, Mehdi Mirza","Advances in Neural Information Processing Systems",2014,"Deep Learning"
"Very Deep Convolutional Networks for Large-Scale Image Recognition","Karen Simonyan, Andrew Zisserman","International Conference on Learning Representations",2015,"ImageNet Classification with Deep Convolutional Neural Networks"
"ResNet: Deep Residual Learning for Image Recognition","Kaiming He, Xiangyu Zhang, Shaoqing Ren","Computer Vision and Pattern Recognition",2016,"Very Deep Convolutional Networks for Large-Scale Image Recognition, ImageNet Classification with Deep Convolutional Neural Networks"
"Long Short-Term Memory","Sepp Hochreiter, Jürgen Schmidhuber","Neural Computation",1997,""
"Learning Phrase Representations using RNN Encoder-Decoder","Kyunghyun Cho, Bart van Merrienboer, Caglar Gulcehre","Conference on Empirical Methods in Natural Language Processing",2014,"Long Short-Term Memory"
"Recurrent Neural Network Regularization","Wojciech Zaremba, Ilya Sutskever, Oriol Vinyals","arXiv preprint",2014,"Long Short-Term Memory"
"Word2Vec: Efficient Estimation of Word Representations in Vector Space","Tomas Mikolov, Kai Chen, Greg Corrado","arXiv preprint",2013,""
"GloVe: Global Vectors for Word Representation","Jeffrey Pennington, Richard Socher, Christopher Manning","Conference on Empirical Methods in Natural Language Processing",2014,"Word2Vec: Efficient Estimation of Word Representations in Vector Space"
"Distributed Representations of Words and Phrases","Tomas Mikolov, Ilya Sutskever, Kai Chen","Advances in Neural Information Processing Systems",2013,"Word2Vec: Efficient Estimation of Word Representations in Vector Space"
"Adam: A Method for Stochastic Optimization","Diederik P. Kingma, Jimmy Ba","International Conference on Learning Representations",2015,""
"Dropout: A Simple Way to Prevent Neural Networks from Overfitting","Nitish Srivastava, Geoffrey Hinton, Alex Krizhevsky","Journal of Machine Learning Research",2014,"ImageNet Classification with Deep Convolutional Neural Networks"
"Batch Normalization: Accelerating Deep Network Training","Sergey Ioffe, Christian Szegedy","International Conference on Machine Learning",2015,"ImageNet Classification with Deep Convolutional Neural Networks"
"U-Net: Convolutional Networks for Biomedical Image Segmentation","Olaf Ronneberger, Philipp Fischer, Thomas Brox","International Conference on Medical Image Computing",2015,"ImageNet Classification with Deep Convolutional Neural Networks"
"Mask R-CNN","Kaiming He, Georgia Gkioxari, Piotr Dollár","International Conference on Computer Vision",2017,"ResNet: Deep Residual Learning for Image Recognition"
"YOLO: Real-Time Object Detection","Joseph Redmon, Santosh Divvala, Ross Girshick","Computer Vision and Pattern Recognition",2016,"ResNet: Deep Residual Learning for Image Recognition"
"Faster R-CNN: Towards Real-Time Object Detection","Shaoqing Ren, Kaiming He, Ross Girshick","Advances in Neural Information Processing Systems",2015,"ResNet: Deep Residual Learning for Image Recognition"
"Support Vector Machines","Corinna Cortes, Vladimir Vapnik","Machine Learning",1995,""
"Random Forests","Leo Breiman","Machine Learning",2001,""
"XGBoost: A Scalable Tree Boosting System","Tianqi Chen, Carlos Guestrin","ACM SIGKDD International Conference",2016,"Random Forests"
"LightGBM: A Highly Efficient Gradient Boosting Decision Tree","Guolin Ke, Qi Meng, Thomas Finley","Advances in Neural Information Processing Systems",2017,"XGBoost: A Scalable Tree Boosting System"
"The PageRank Citation Ranking","Lawrence Page, Sergey Brin, Rajeev Motwani","Stanford InfoLab",1999,""
"Latent Dirichlet Allocation","David M. Blei, Andrew Y. Ng, Michael I. Jordan","Journal of Machine Learning Research",2003,""
"t-SNE: Visualizing Data using t-Distributed Stochastic Neighbor Embedding","Laurens van der Maaten, Geoffrey Hinton","Journal of Machine Learning Research",2008,""
"UMAP: Uniform Manifold Approximation and Projection","Leland McInnes, John Healy, James Melville","arXiv preprint",2018,"t-SNE: Visualizing Data using t-Distributed Stochastic Neighbor Embedding"
"Principal Component Analysis","Karl Pearson","Philosophical Magazine",1901,""
"Independent Component Analysis","Aapo Hyvärinen, Erkki Oja","Neural Networks",2000,"Principal Component Analysis"
"DBSCAN: A Density-Based Algorithm for Discovering Clusters","Martin Ester, Hans-Peter Kriegel, Jörg Sander","ACM SIGKDD International Conference",1996,""
"K-means++: The Advantages of Careful Seeding","David Arthur, Sergei Vassilvitskii","ACM-SIAM Symposium on Discrete Algorithms",2007,""
"Reinforcement Learning: An Introduction","Richard S. Sutton, Andrew G. Barto","MIT Press",2018,""
"Playing Atari with Deep Reinforcement Learning","Volodymyr Mnih, Koray Kavukcuoglu, David Silver","arXiv preprint",2013,"Reinforcement Learning: An Introduction"
"Human-level control through deep reinforcement learning","Volodymyr Mnih, Koray Kavukcuoglu, David Silver","Nature",2015,"Playing Atari with Deep Reinforcement Learning"
